127.0.0.1 - - [08/Aug/2019:19:22:13 -0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:22:15 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 500 5037
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:23:50 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 500 2451
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:24:25 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:26:11 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:26:12 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:26:13 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:26:13 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:26:14 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:26:14 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:27:15 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:27:23 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:27:48 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 410
